max_depth,avg_train_score,avg_test_score,avg_f1_score
2,86.05839416058394,84.52554744525547,0.8289347810416606
3,89.54379562043796,88.75912408759123,0.8832678436129662
4,95.58394160583941,92.91970802919707,0.9224309068137172
5,97.20802919708028,94.45255474452554,0.9390396450551025
6,98.88686131386861,95.83941605839416,0.9534311260783299
7,99.47080291970804,97.007299270073,0.9666740413494885
8,99.45255474452556,96.42335766423358,0.9596654631160613
9,99.39781021897811,97.08029197080292,0.9673173783559301
10,99.36131386861314,97.15328467153286,0.9679231283740982
11,99.63503649635037,97.88321167883211,0.9763614429097627
12,99.45255474452554,96.64233576642337,0.9631675625801337
13,99.50729927007299,96.93430656934306,0.9654923578255529
14,99.56204379562043,97.22627737226279,0.9687314279796373
